Accident_Date,Accident_Time,ID,Severity,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Stop,Traffic_Calming,Traffic_Signal,Day_or_Night
2022-11-15,17:36:00,A-4473338,2,33.499349,-112.11808,33.499349,-112.121322,0.187,Incident on W MONTECITO AVE near HOUSE 2700 Drive with caution., N 27th Dr,Phoenix,Maricopa,AZ,85017,US,US/Mountain,KPHX,66.0,66.0,21.0,28.85,10.0,W,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,Night
2022-02-15,07:04:00,A-709823,2,33.52401,-112.123398,,,0.0,Crash on Bethany Home Rd at 30th Ave.,W Bethany Home Rd,Phoenix,Maricopa,AZ,85017,US,US/Mountain,KPHX,49.0,45.0,36.0,28.63,10.0,E,10.0,0.0,Fair,False,False,True,False,False,False,False,True,False,False,Night
2022-09-16,19:15:00,A-3922930,2,33.458457,-111.984785,33.462158,-112.035346,2.926,Slow traffic on AZ-202 Loop W - Red Mountain Fwy W from 52nd St/Exit 4 (AZ-202 Loop/Red Mountain Fwy) to 24th St/Exit 1B (AZ-202 Loop/Red Mountain Fwy) due to accident.,AZ-202 Loop W,Phoenix,Maricopa,AZ,85008,US,US/Mountain,KPHX,94.0,94.0,26.0,28.55,10.0,VAR,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Night
2022-01-28,18:55:00,A-4988730,2,33.461447954018304,-112.3851693,33.46149795,-112.3991393,0.805,Incident on I-10 WB near PEBBLE CREEK PKWY Right lane blocked. Expect delays.,I-10 W,Goodyear,Maricopa,AZ,85338,US,US/Mountain,KGYR,66.0,66.0,14.0,29.16,10.0,NNE,7.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,Night
2022-10-31,19:20:00,A-4264708,2,33.43593478,-111.9206965,33.43558478,-111.8979365,1.3130000000000002,Stationary traffic on AZ-202 Loop E - Red Mountain Fwy E from Scottsdale Rd/Exit 7 (AZ-202 Loop/Red Mountain Fwy) to McClintock Dr/Exit 8 (AZ-202 Loop/Red Mountain Fwy) due to accident.,AZ-202-LOOP,Tempe,Maricopa,AZ,85281,US,US/Mountain,KPHX,78.0,78.0,17.0,28.64,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Night
2022-01-16,11:57:00,A-3806761,2,33.529047,-112.135214,33.529043,-112.136045,0.048,Incident on MARLETTE AVE near HOUSE 3600 Expect delays., W Marlette Ave,Phoenix,Maricopa,AZ,85019,US,US/Mountain,KGEU,64.0,64.0,21.0,28.93,7.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-01-29,15:40:00,A-4322477,2,33.593924,-112.260504,33.589063,-112.261238,0.339,Incident on AZ-101 LOOP WB near 91ST AVE Right lane blocked. Expect delays.,W Grand Ave,Peoria,Maricopa,AZ,85345,US,US/Mountain,KGEU,72.0,72.0,13.0,28.85,10.0,E,7.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,Day
2022-05-26,06:49:00,A-4080919,2,33.462231,-112.062905,33.462381,-112.065144,0.129,Crash in the median on I-10 Westbound near 3rd St (146),I-10 W,Phoenix,Maricopa,AZ,85006,US,US/Mountain,KPHX,78.0,78.0,23.0,28.64,10.0,E,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-02-07,06:54:00,A-719837,2,33.589110999999995,-112.168762,,,0.0,Crash on 51st Ave at Cholla St.,W Cholla St,Glendale,Maricopa,AZ,85304,US,US/Mountain,KGEU,53.0,53.0,19.0,29.14,10.0,NNE,12.0,0.0,Fair,False,False,True,False,False,False,False,False,False,True,Night
2022-04-06,09:12:00,A-659987,2,33.408909,-112.012444,,,0.0,Crash on 32nd St at Wood St.,E Wood St,Phoenix,Maricopa,AZ,85040,US,US/Mountain,KPHX,71.0,71.0,31.0,28.77,10.0,E,7.0,0.0,Fair,False,False,True,False,False,False,False,False,False,True,Day
2022-04-18,16:17:00,A-3780186,2,33.471321,-111.888264,33.403008,-111.891291,4.723,Slow traffic on Price Fwy S - Loop 101 S - Pima Fwy S - AZ-101 Loop S from Thomas Rd/Exit 48 (Pima Fwy/AZ-101) to Broadway Rd/Exit 53 (Price Fwy/AZ-101) due to accident.,Pima Fwy S,Scottsdale,Maricopa,AZ,85256,US,US/Mountain,KFFZ,95.0,95.0,4.0,28.64,10.0,SW,7.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,Day
2022-03-09,17:57:00,A-3795119,2,33.640018,-111.89643,33.640026,-111.894541,0.109,Incident on E BELL RD near N PERIMETER DR Drive with caution., N Perimeter Dr,Scottsdale,Maricopa,AZ,85260,US,US/Mountain,KSDL,67.0,67.0,13.0,28.18,10.0,SSW,9.0,0.0,Fair,False,False,True,False,False,False,False,False,False,True,Day
2022-09-19,07:44:00,A-5245101,2,33.46118,-112.28882,33.461465000000004,-112.27292,0.917,Crash on the right shoulder on I-10 Eastbound near Avondale Blvd (MP 132),I-10 E,Avondale,Maricopa,AZ,85323,US,US/Mountain,KGYR,77.0,77.0,34.0,28.78,10.0,VAR,5.0,,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-01-27,17:23:00,A-3819490,2,33.461233,-112.402422,33.457656,-112.335882,3.844,Stationary traffic on Papago Fwy E - I-10 E - Pearl Harbor Memorial Hwy from N Sarival Ave (I-10) to Dysart Rd/Exit 129 (I-10) due to accident.,I-10 E,Goodyear,Maricopa,AZ,85338,US,US/Mountain,KGYR,63.0,63.0,26.0,29.1,10.0,SW,7.0,,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-04-08,23:22:00,A-4618287,4,33.79781842215634,-112.2255242,33.80370842215634,-112.2405442,0.954,Road closed due to a crash on SR-74 Westbound near W Carefree Hwy (25) . Lane Closed., W Carefree Hwy,Peoria,Maricopa,AZ,85383,US,US/Mountain,KDVT,76.0,76.0,11.0,28.24,10.0,NE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Night
2022-02-04,17:27:00,A-5090474,2,33.85498166068146,-111.4724243,33.79765166068146,-111.4923543,4.123,Incident on AZ-87 SB near AZ-87 Drive with caution.,Beeline Hwy,Scottsdale,Maricopa,AZ,85262,US,US/Mountain,KSDL,61.0,61.0,11.0,28.64,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,True,False,False,Day
2022-12-02,15:19:00,A-5110115,2,33.411083000000005,-111.984535,33.461283,-112.085724,6.787999999999999,Stationary traffic on Maricopa Fwy W - US-60 W - I-10 W - Pearl Harbor Memorial Hwy - Papago Fwy W from AZ-143/48th St/Exit 153 (I-10) to 7th Ave/Exit 144 (I-10) due to accident.,Pearl Harbor Memorial Highway,Phoenix,Maricopa,AZ,85040,US,US/Mountain,KPHX,68.0,68.0,37.0,28.86,10.0,N,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,Day
2022-01-30,17:26:00,A-4150263,2,33.389189,-111.967556,33.398411,-111.967296,0.637,Incident on I-10 WB near MESA-GLOBE Left shoulder closed.,I-10 W,Tempe,Maricopa,AZ,85282,US,US/Mountain,KPHX,71.0,71.0,18.0,28.81,10.0,WNW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-06-12,21:49:00,A-4018583,2,33.43582749,-112.5834811,33.44647749,-112.5504511,2.042,Slow traffic on Papago Fwy E - I-10 E - Pearl Harbor Memorial Hwy from Miller Rd/Exit 114 (I-10) to S Watson Rd/Exit 117 (I-10) due to accident.,I-10,Buckeye,Maricopa,AZ,85326,US,US/Mountain,KBXK,95.0,95.0,20.0,28.57,10.0,WSW,9.0,0.0,,False,False,False,False,False,False,False,False,False,False,Night
2022-08-12,17:04:00,A-4385018,2,33.65493,-111.910205,33.59218,-111.891694,4.465,Stationary traffic on Loop 101 E - Loop 101 S - Pima Fwy E - Pima Fwy S - AZ-101 Loop S - AZ-101 Loop E from Scottsdale Rd/Exit 34 (Pima Fwy/AZ-101) to Cactus Rd/Exit 40 (Pima Fwy/AZ-101) due to accident.,AZ-101-LOOP,Scottsdale,Maricopa,AZ,85255,US,US/Mountain,KSDL,74.0,74.0,91.0,28.37,0.5,NE,16.0,0.7,Heavy T-Storm,False,False,False,False,False,False,False,False,False,False,Day
2022-07-29,18:39:00,A-4042157,2,33.669791,-112.095331,33.668859999999995,-112.106992,0.674,Crash on the right shoulder on 101-LOOP Westbound near 19th Ave (MP 25),AZ-101 Loop W,Phoenix,Maricopa,AZ,85027,US,US/Mountain,KDVT,93.0,93.0,39.0,28.21,10.0,W,13.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,Day
2022-10-07,12:18:00,A-5207144,2,33.465655,-111.925537,33.465674,-111.924009,0.088,Incident on E MCDOWELL RD near N SCOTTSDALE RD Expect delays.,E McDowell Rd,Scottsdale,Maricopa,AZ,85257,US,US/Mountain,KPHX,87.0,87.0,27.0,28.87,10.0,SE,7.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,Day
