State,Measure Names,Year of Year,Measure Values
California,Recreational boating fatalities,2017,50
California,Rail fatalities,2017,156
California,Highway Fatalities,2017,3884
California,Transit Fatalities,2016,35
California,Recreational boating fatalities,2016,47
California,Rail fatalities,2016,141
California,Highway Fatalities,2016,3837
California,Transit Fatalities,2015,41
California,Recreational boating fatalities,2015,48
California,Rail fatalities,2015,131
California,Highway Fatalities,2015,3387
California,Transit Fatalities,2014,48
California,Recreational boating fatalities,2014,38
California,Rail fatalities,2014,128
California,Highway Fatalities,2014,3102
California,Transit Fatalities,2013,51
California,Recreational boating fatalities,2013,37
California,Rail fatalities,2013,106
California,Highway Fatalities,2013,3107
California,Transit Fatalities,2012,46
California,Recreational boating fatalities,2012,49
California,Rail fatalities,2012,100
California,Highway Fatalities,2012,2966
California,Transit Fatalities,2011,33
California,Recreational boating fatalities,2011,52
California,Rail fatalities,2011,77
California,Highway Fatalities,2011,2816
California,Transit Fatalities,2010,29
California,Recreational boating fatalities,2010,48
California,Rail fatalities,2010,90
California,Highway Fatalities,2010,2720
Colorado,Transit Fatalities,2023,3
Colorado,Recreational boating fatalities,2023,
Colorado,Rail fatalities,2023,13
Colorado,Highway Fatalities,2023,
Colorado,Transit Fatalities,2022,8
Colorado,Recreational boating fatalities,2022,14
Colorado,Rail fatalities,2022,13
Colorado,Highway Fatalities,2022,
Colorado,Transit Fatalities,2021,3
Colorado,Recreational boating fatalities,2021,8
Colorado,Rail fatalities,2021,13
Colorado,Highway Fatalities,2021,691
Colorado,Transit Fatalities,2020,5
Colorado,Recreational boating fatalities,2020,17
Colorado,Rail fatalities,2020,13
Colorado,Highway Fatalities,2020,622
Colorado,Transit Fatalities,2019,4
Colorado,Recreational boating fatalities,2019,12
Colorado,Rail fatalities,2019,18
Colorado,Highway Fatalities,2019,597
Colorado,Transit Fatalities,2018,6
Colorado,Recreational boating fatalities,2018,6
Colorado,Rail fatalities,2018,11
Colorado,Highway Fatalities,2018,632
Colorado,Transit Fatalities,2017,5
Colorado,Recreational boating fatalities,2017,6
Colorado,Rail fatalities,2017,7
Colorado,Highway Fatalities,2017,648
Colorado,Transit Fatalities,2016,5
Colorado,Recreational boating fatalities,2016,12
Colorado,Rail fatalities,2016,14
Colorado,Highway Fatalities,2016,608
Colorado,Transit Fatalities,2015,6
Colorado,Recreational boating fatalities,2015,8
Colorado,Rail fatalities,2015,7
Colorado,Highway Fatalities,2015,547
Colorado,Transit Fatalities,2014,5
Colorado,Recreational boating fatalities,2014,12
Colorado,Rail fatalities,2014,7
Colorado,Highway Fatalities,2014,488
Colorado,Transit Fatalities,2013,5
Colorado,Recreational boating fatalities,2013,2
Colorado,Rail fatalities,2013,7
Colorado,Highway Fatalities,2013,482
Colorado,Transit Fatalities,2012,6
Colorado,Recreational boating fatalities,2012,9
Colorado,Rail fatalities,2012,4
Colorado,Highway Fatalities,2012,474
Colorado,Transit Fatalities,2011,3
Colorado,Recreational boating fatalities,2011,10
Colorado,Rail fatalities,2011,6
Colorado,Highway Fatalities,2011,447
Colorado,Transit Fatalities,2010,7
Colorado,Recreational boating fatalities,2010,7
Colorado,Rail fatalities,2010,11
Colorado,Highway Fatalities,2010,450
Connecticut,Transit Fatalities,2023,1
Connecticut,Recreational boating fatalities,2023,
Connecticut,Rail fatalities,2023,7
Connecticut,Highway Fatalities,2023,
Connecticut,Transit Fatalities,2022,2
Connecticut,Recreational boating fatalities,2022,9
Connecticut,Rail fatalities,2022,4
Connecticut,Highway Fatalities,2022,
Connecticut,Transit Fatalities,2021,1
Connecticut,Recreational boating fatalities,2021,7
Connecticut,Rail fatalities,2021,7
Connecticut,Highway Fatalities,2021,298
Connecticut,Transit Fatalities,2020,0
Connecticut,Recreational boating fatalities,2020,3
Connecticut,Rail fatalities,2020,3
Connecticut,Highway Fatalities,2020,299
Connecticut,Transit Fatalities,2019,1
Connecticut,Recreational boating fatalities,2019,2
Connecticut,Rail fatalities,2019,3
Connecticut,Highway Fatalities,2019,249
Connecticut,Transit Fatalities,2018,0
Connecticut,Recreational boating fatalities,2018,5
Connecticut,Rail fatalities,2018,3
Connecticut,Highway Fatalities,2018,293
Connecticut,Transit Fatalities,2017,1
Connecticut,Recreational boating fatalities,2017,9
Connecticut,Rail fatalities,2017,6
Connecticut,Highway Fatalities,2017,281
Connecticut,Transit Fatalities,2016,1
Connecticut,Recreational boating fatalities,2016,3
Connecticut,Rail fatalities,2016,4
Connecticut,Highway Fatalities,2016,304
Connecticut,Transit Fatalities,2015,0
Connecticut,Recreational boating fatalities,2015,6
Connecticut,Rail fatalities,2015,4
Connecticut,Highway Fatalities,2015,270
Connecticut,Transit Fatalities,2014,1
Connecticut,Recreational boating fatalities,2014,5
Connecticut,Rail fatalities,2014,5
Connecticut,Highway Fatalities,2014,248
Connecticut,Transit Fatalities,2013,1
Connecticut,Recreational boating fatalities,2013,1
Connecticut,Rail fatalities,2013,4
Connecticut,Highway Fatalities,2013,286
Connecticut,Transit Fatalities,2012,0
Connecticut,Recreational boating fatalities,2012,6
Connecticut,Rail fatalities,2012,5
Connecticut,Highway Fatalities,2012,264
Connecticut,Transit Fatalities,2011,1
Connecticut,Recreational boating fatalities,2011,8
Connecticut,Rail fatalities,2011,4
Connecticut,Highway Fatalities,2011,221
Connecticut,Transit Fatalities,2010,1
Connecticut,Recreational boating fatalities,2010,7
Connecticut,Rail fatalities,2010,6
Connecticut,Highway Fatalities,2010,320
Delaware,Transit Fatalities,2023,1
Delaware,Recreational boating fatalities,2023,
Delaware,Rail fatalities,2023,1
Delaware,Highway Fatalities,2023,
Delaware,Transit Fatalities,2022,0
Delaware,Recreational boating fatalities,2022,2
Delaware,Rail fatalities,2022,2
Delaware,Highway Fatalities,2022,
Delaware,Transit Fatalities,2021,0
Delaware,Recreational boating fatalities,2021,2
Delaware,Rail fatalities,2021,1
Delaware,Highway Fatalities,2021,136
Delaware,Transit Fatalities,2020,0
Delaware,Recreational boating fatalities,2020,6
Delaware,Rail fatalities,2020,0
